Emissao_CO2,Classificacao_Emissao,Consumo,Classificacao_consumo,Tipo_edificio,Estado_edificio,Ano_construcao,Superficie_m2,Municipio,Provincia,Classificacao
61.17,E,304.97,F,Bloque completo,Existente,1969,938.02,HUESCA,HUESCA,EF
61.17,E,304.97,F,Bloque completo,Existente,1969,938.02,HUESCA,HUESCA,EF
61.17,E,304.97,F,Bloque completo,Existente,1969,938.02,HUESCA,HUESCA,EF
61.17,E,304.97,F,Bloque completo,Existente,1969,938.02,HUESCA,HUESCA,EF
61.17,E,304.97,F,Bloque completo,Existente,1969,938.02,HUESCA,HUESCA,EF
61.17,E,304.97,F,Bloque completo,Existente,1969,938.02,HUESCA,HUESCA,EF
19.95,C,95.96,C,Unifamiliar,Existente,2011,244.51,HUESCA,HUESCA,CC
50.99,E,242.46,E,Bloque completo,Existente,1900,608.9,HUESCA,HUESCA,EE
29.45,D,164.54,E,Vivienda individual,Existente,2007,84.04,HUESCA,HUESCA,DE
54.37,E,257.14,E,Vivienda individual,Existente,1969,50.9,HUESCA,HUESCA,EE
68.65,F,324.45,F,Bloque completo,Existente,1985,93.1,HUESCA,HUESCA,FF
70.71,F,299.18,F,Bloque completo,Existente,1970,2300.84,HUESCA,HUESCA,FF
70.71,F,299.18,F,Bloque completo,Existente,1970,2300.84,HUESCA,HUESCA,FF
70.71,F,299.18,F,Bloque completo,Existente,1970,2300.84,HUESCA,HUESCA,FF
70.71,F,299.18,F,Bloque completo,Existente,1970,2300.84,HUESCA,HUESCA,FF
42.63,E,201.75,E,Vivienda individual,Existente,1968,68,HUESCA,HUESCA,EE
62.08,E,294.82,E,Vivienda individual,Existente,1984,91,HUESCA,HUESCA,EE
65.6,F,278.34,E,Bloque completo,Existente,1983,4014.55,HUESCA,HUESCA,FE
56.36,E,266.86,E,Vivienda individual,Existente,1968,74.82,HUESCA,HUESCA,EE
31.69,E,150.39,E,Bloque completo,Existente,1983,3618,HUESCA,HUESCA,EE
88.49,G,419.32,G,Bloque completo,Existente,1888,446,HUESCA,HUESCA,GG
